content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'The 49th Annual Meeting of the Association for Computational Linguistics: Human Language Technologies,'1-2-1-1,1,0,1,2,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
"'To be held at the Portland Marriott Downtown Waterfront in 
Portland, Oregon, USA, June 19-24, 2011",'1-2-1-2,1,0,0,1,1,2,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,I
'ACL-HLT 2011: Call for System Demonstrations,'1-2-2-1,0,0,1,2,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
"'June 19 - 24, 2011",'1-2-2-2-1-1-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,1,I
"'Portland, Oregon",'1-2-2-2-1-1-2,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,2,I
"'Submission deadline: February 18, 2011",'1-2-2-2-1-2,0,0,0,1,0,2,0,1,0,2,0,1,0,0,0,0,1,0,1,0,1,0,0,2,C
'Invitation for Submissions,'1-2-2-2-2-1,0,0,1,1,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,C
'The ACL-HLT 2011 System Demonstration Program Committee invites proposals for the Demonstrations Program. We encourage both the submission of early research prototypes and interesting mature systems.,'1-2-2-2-2-2-1,1,0,0,1,0,2,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,I
"'PLEASE NOTE: Commercial sales and marketing activities are not appropriate in the Demonstrations Program, and should be arranged as part of the Exhibit Program.",'1-2-2-2-2-2-2,1,0,0,1,0,2,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,N
"'Areas of interest include all topics related to theoretical and applied computational linguistics, such as (but not limited to) the topics listed for the conference paper submission:",'1-2-2-2-2-2-3,1,0,0,1,0,0,0,2,1,2,1,1,1,1,0,0,0,0,0,1,0,0,0,3,N
'http://www.acl2011.org/call.shtml,'1-2-2-2-2-2-4,0,0,0,1,0,0,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,3,N
'The systems may be of the following kinds:,'1-2-2-2-2-2-5,0,0,0,1,0,0,0,2,1,2,1,1,0,1,0,0,0,0,1,0,0,1,1,3,C
