content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'ACM Transactions on,'1-1-1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,C
'Autonomous and Adaptive Systems,'1-1-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,C
'Papers to be Scheduled in Future Issues,'1-2-2-1,0,0,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'Improving the Effectiveness of Testing Pervasive Software via Context Diversity,'1-2-2-2-1-1,1,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
"'Wang, Huai; Chan, Wing Kwong; Tse, T.H.",'1-2-2-2-1-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Programming Urban-area Applications by Exploiting Public Transportation,'1-2-2-2-2-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Harnie, Dries; Gonzalez Boix, Elisa; D'Hondt, Theo; De Mauter, Wolfgang",'1-2-2-2-2-2,1,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'A formal approach to autonomic systems programming: The SCEL Language,'1-2-2-2-3-1,1,0,0,1,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'De Nicola, Rocco; Loreti, Michele; Pugliese, Rosario; Tiezzi, Francesco",'1-2-2-2-3-2,1,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Fostering cooperation through dynamic coalition formation and partner switching,'1-2-2-2-4-1,1,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Peleteiro, Ana; Burguillo, Juan; Arcos, Josep Lluis; Rodriguez-Aguilar, Juan",'1-2-2-2-4-2,1,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'A Cooperative Predictive Control Approach to Improve the Reconfiguration Stability of Adaptive Distributed Parallel Applications,'1-2-2-2-5-1,1,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Mencagli, Gabriele; Vanneschi, Marco; Vespa, Emanuele",'1-2-2-2-5-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Mitigating DoS Attacks using Performance Model-driven Adaptive Algorithms,'1-2-2-2-6-1,0,0,0,1,0,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Barna, Cornel; Shtern, Mark; Smit, Michael; Tzerpos, Vassilios; Litoiu, Marin",'1-2-2-2-6-2,1,0,0,1,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Towards language-level support for self-adaptive software,'1-2-2-2-7-1,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Salvaneschi, Guido; Ghezzi, Carlo; Pradella, Matteo",'1-2-2-2-7-2,0,0,0,1,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'A Safety Engineering Framework for Open Adaptive Systems,'1-2-2-2-8-1,0,0,0,1,0,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Schneider, Daniel; Trapp, Mario",'1-2-2-2-8-2,0,0,0,1,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
