content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'Editor-in-Chief,'1-1-2-2-1-1,0,0,1,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,C
"'Munindar P. Singh Department of Computer Science, North Carolina State University",'1-1-2-2-1-2-1,1,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,I
'mpsingh AT acm.org,'1-1-2-2-1-2-2,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Associate Editors,'1-1-2-2-2-1,0,0,1,2,1,2,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,2,C
"'Sibel Adali, Department of Computer Science, Rensselaer Polytechnic Institute",'1-1-2-2-2-2-1,1,0,0,1,0,2,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,1,I
"'Prithwish Basu, Raytheon BBN Technologies",'1-1-2-2-2-2-2,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Abraham Bernstein, Department of Informatics, University of Zurich",'1-1-2-2-2-2-3,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,1,0,0,0,0,0,2,I
"'Athman Bouguettaya, School of Computer Science and Information Technology, RMIT University",'1-1-2-2-2-2-4,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,1,0,0,0,0,0,2,I
"'Amit Chopra, School of Computing and Communications, Lancaster University",'1-1-2-2-2-2-5,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,1,0,0,0,0,0,2,I
"'Schahram Dustdar, Distributed Systems Group, Vienna University of Technology",'1-1-2-2-2-2-6,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,1,0,0,0,0,0,2,I
"'Aditya K. Ghose, School of Computer Science and Software Engineering, University of Wollongong",'1-1-2-2-2-2-7,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,1,0,0,0,0,0,2,I
"'Andreas Hotho, Data Mining and Information Retrieval Group, University of Würzburg",'1-1-2-2-2-2-8,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,1,0,0,0,0,0,2,I
"'Ling Liu, College of Computing, Georgia Institute of Technology",'1-1-2-2-2-2-9,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,1,0,0,0,0,0,2,I
"'Ioana Manolescu, Leo group, INRIA Saclay Ile-de-France - Subject areas: XML query processing, distributed data management, query optimization, data management for the Web, experimental evaluation methodology",'1-1-2-2-2-2-10,1,0,0,1,0,2,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Daniel A. Menasce, Computer Science, George Mason University",'1-1-2-2-2-2-11,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,1,0,0,0,0,0,2,I
"'Bamshad Mobasher, School of Computing, DePaul University",'1-1-2-2-2-2-12,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,1,0,0,0,0,0,2,I
"'Luc Moreau, Electronics and Computer Science, University of Southampton",'1-1-2-2-2-2-13,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,1,0,0,0,0,0,2,I
"'Javed Mostafa, School of Information and Library Science, University of North Carolina",'1-1-2-2-2-2-14,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,1,0,0,0,0,0,2,I
"'Julian Padget, Computer Science, University of Bath",'1-1-2-2-2-2-15,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,1,0,0,0,0,0,2,I
"'Peter Reiher, Computer Science Department, UCLA - Subject areas: Internet denial of service, IP spoofing, botnets, routing security, ubiquitous computing",'1-1-2-2-2-2-16,1,0,0,1,0,2,0,1,1,2,1,0,1,1,0,0,1,0,0,0,0,0,2,I
"'Matei Ripeanu, Electrical and Computer Engineering, University of British Columbia",'1-1-2-2-2-2-17,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,1,0,0,0,0,0,2,I
"'R. Sekar, Department of Computer Science, Stony Brook University - Subject areas: network monitoring and intrusion detection, vulnerability detection and mitigation, language and formal methods based techniques, operating systems",'1-1-2-2-2-2-18,1,0,0,1,0,2,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
"'Kobus Van der Merwe, AT&T Labs - Research - Subject areas: web search, sponsored search, search engine measurements, web measurements",'1-1-2-2-2-2-19,1,0,0,1,0,2,0,1,1,2,1,0,1,1,0,0,1,0,0,0,0,0,2,I
"'Michael Wellman, Department of Computer Science and Engineering, University of Michigan - Subject areas: electronic commerce, computational markets, multiagent systems, strategic reasoning",'1-1-2-2-2-2-20,1,0,0,1,0,2,0,1,1,2,1,0,1,1,0,0,1,0,0,0,0,0,2,I
"'S. Felix Wu, Computer Science, University of California, Davis",'1-1-2-2-2-2-21,0,0,0,1,0,2,0,0,1,2,1,0,0,1,0,1,1,0,0,0,0,0,2,I
'Information Director,'1-1-2-2-3-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'Pradeep Murukannaiah Department of Computer Science, North Carolina State University",'1-1-2-2-3-2-1,1,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,I
'pradeepmcl AT gmail.com,'1-1-2-2-3-2-2,0,0,0,1,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Journal Coordinator,'1-1-2-2-4-1,0,0,1,2,1,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'Tammy Coates Department of Computer Science, North Carolina State University",'1-1-2-2-4-2-1,1,0,0,1,0,2,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,I
'tco6464 AT gmail.com,'1-1-2-2-4-2-2,0,0,0,1,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
