content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'Upcoming Articles,'1-1-2-2-1,0,0,1,2,1,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,C
'When Amazon Meets Google: Product Visualization by Exploring Multiple Web Sources,'1-1-2-2-2-1,1,0,0,1,1,2,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,C
"'Wang, Meng",'1-1-2-2-2-2-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Abstract:,'1-1-2-2-2-2-2,0,0,0,1,0,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Resolvers Revealed: Characterizing DNS Resolvers and their Clients,'1-1-2-2-3-1,0,0,0,1,1,2,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'Shue, Craig; Kalafut, Andrew",'1-1-2-2-3-2-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Abstract:,'1-1-2-2-3-2-2,0,0,0,1,0,1,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'SafeVchat: A System for Obscene Content Detection in Online Video Chat Services,'1-1-2-2-4-1,1,0,0,1,1,2,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'Liang, Yu-Li; Xing, Xinyu; Cheng, Hanqiang; Dang, Jianxun; Huang, Sui; Han, Richard; Liu, Xue; Lv, Qin; Mishra, Shivakant",'1-1-2-2-4-2-1,1,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Abstract:,'1-1-2-2-4-2-2,0,0,0,1,0,1,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'User and ISP Rights of Device Attachment and Device Management,'1-1-2-2-5-1,1,0,0,1,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'Jordan, Scott; Shaffer, Gwen",'1-1-2-2-5-2-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Abstract:,'1-1-2-2-5-2-2,0,0,0,1,0,1,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'A Server-Side Authenticated Key-Establishment with Low Computational Workload,'1-1-2-2-6-1,0,0,0,1,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'Oligeri, Gabriele; Bicakci, Kemal; Crispo, Bruno",'1-1-2-2-6-2-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Abstract:,'1-1-2-2-6-2-2,0,0,0,1,0,1,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,I
