content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'AlastairBeresford,'1-1-1,0,0,1,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'University of Cambridge,'1-1-2-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,C
"'Alastair Beresford is an University Lecturer at the Computer Laboratory and a Teaching Fellow at Robinson College, Cambridge.",'1-2-1-1-2,1,0,0,1,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,N
'Contact Details,'1-2-1-2-2-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,3,C
'University: arb33 at cam.ac.uk,'1-2-1-2-2-2-1-1,0,0,0,1,0,2,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Personal: alastair at beresford.me.uk,'1-2-1-2-2-2-1-2,0,0,0,1,0,2,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Phone: +44 1223 763597,'1-2-1-2-2-2-1-3,0,0,0,1,0,2,0,1,1,2,1,0,0,1,0,1,0,0,0,1,0,0,0,2,I
'Please contact me via email in the first instance.,'1-2-1-2-2-2-2,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,2,N
'I'm currently looking for a PhD student. Please get in contact via email if you are interested.,'1-2-2-1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,3,N
"'Interests: Privacy, Mobile Computing & Programming",'1-2-2-2-1,0,0,1,2,1,2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,C
"'I am a University Lecturer at the University of Cambridge Computer Laboratory. I'm also a Fellow of Robinson College, Cambridge.",'1-2-2-2-2-1,1,0,0,1,0,2,1,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,I
"'My current research work explores the intersection of three areas of computer science: security & privacy, mobile computing, and programming languages.",'1-2-2-2-2-2,1,0,0,1,0,0,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,I
'Projects,'1-2-2-3-1,0,0,1,2,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,2,C
"'Nigori is a distributed system for storing and synchronising application state between mobile devices using cloud storage. Nigori provides strong privacy guarantees, preventing the cloud provider and application developer from accessing any personal information.",'1-2-2-3-2-1-1,2,1,0,1,0,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'Device Analyzer has collected statistical usage data from over 10,000 Android mobile devices across the world. Device Analyzer preprocesses data on the mobile device to remove direct personal identifiers and reduce the privacy risk of sharing the data with the university.",'1-2-2-3-2-1-2,2,1,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Computing for the Future of the Planet explores how computers can help solve some of the world's most pressing problems arising from climate change and the need to build sustainable systems.,'1-2-2-3-2-1-3,2,1,0,1,0,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Previous work includes:,'1-2-2-3-2-2,0,0,0,1,0,2,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,2,C
"'The TIME-EACM project, which explored how sensor networks and distributed systems can be used to improve traffic and transport in the 21st century.",'1-2-2-3-2-3-1,1,1,0,1,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'The Cambridge Mobile Urban Sensing Project which measured and monitored air quality, particularly urban pollution generated by motor vehicles.",'1-2-2-3-2-3-2,1,1,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'I have published some of my research work in various conferences, journals and books. A complete list of my publications are available in my curriculum vitae.",'1-2-2-3-2-4,1,0,0,1,0,0,1,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,2,N
'Teaching,'1-2-2-4-1,0,0,1,2,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,3,C
'In the 2011-12 academic year I am teaching Programming in Java to first-year undergraduate students and Further Java to second-year students. I developed these courses from scratch with Andrew Rice; students are taught the material in a hands-on practical class format.,'1-2-2-4-2-1,2,0,0,1,0,2,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,I
"'Prior to teaching Java I lectured the second-year undergraduate course in ""Programming in C and C++"". My lecture slides, errata and the assessed course exercise are available from the lecture course home page. Note: I'm not teaching this course this year, so queries about this course should go to the current lecturer.",'1-2-2-4-2-2,2,0,0,1,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
