content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Tel: +44 1223 334501,'1-1-1-2-1-1,0,0,0,1,0,2,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,C
'Fax: +44 1223 334678,'1-1-1-2-1-2,0,0,0,1,0,2,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,C
'John.Daugman at CL.cam.ac.uk,'1-1-1-2-2,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,N
"'John Daugman, OBE FIMA FIAPR",'1-1-2-1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,N
'Professor of Computer Vision and Pattern Recognition,'1-1-2-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,N
'Lecture courses:,'1-2-1,0,0,1,2,1,2,0,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,3,C
'Information Theory and Coding,'1-2-2-1,0,0,0,1,0,2,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,I
'Mathematical Methods in Computer Science,'1-2-2-2,0,0,0,1,0,2,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,I
'Computer Vision,'1-2-2-3,0,0,0,1,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Research interests:,'1-3-1-1,0,0,1,2,1,2,0,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,C
"'Computer vision, statistical pattern recognition, neural computing, wavelet codes.",'1-3-1-2,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,I
'Selected publications:,'1-3-2-1,0,0,1,2,1,2,0,2,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,2,C
"'Hao F, Daugman J, Zielinski P (2008) ""A fast search algorithm for a large fuzzy database."" IEEE Trans. Information Forensics and Security 3(2), pp 203-212. ( PDF)",'1-3-2-2-1-1-1,1,1,0,1,0,2,1,0,1,2,1,0,1,0,1,0,1,0,0,0,0,0,0,1,I
"'Daugman J (2007) ""New methods in iris recognition."" IEEE Trans. Systems, Man, Cybernetics B 37(5), pp 1167-1175. ( PDF)",'1-3-2-2-1-1-2,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
