content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Simon Moore,'1-2-2-1-1-2-1,0,0,1,2,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
"'Simon Moore is Reader in Computer Architecture at the University of Cambridge Computer Laboratory in England, where he undertakes research and teaching in the general area of computer design with particular interests in massively parallel computer architecture and associated algorithm issues. Dr Moore is the senior member of the Computer Architecture research group.",'1-2-2-1-1-2-2,2,0,0,1,0,2,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,I
'Some News,'1-2-2-1-1-3-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,2,C
'December 2013 - Video of tadpole neural model on FPGA,'1-2-2-1-1-3-2-1-1,1,1,0,1,0,2,1,0,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,1,I
'September 2013 - Paper presented at FPL comparing custom computing to vector processing,'1-2-2-1-1-3-2-1-2,1,1,0,1,0,2,1,0,1,2,1,1,1,1,1,0,0,0,1,0,0,0,0,2,I
'June 2013 - FPGA prototype tablet design open sourced based around a DE4 board and multitouch screen,'1-2-2-1-1-3-2-1-3,1,1,0,1,0,0,1,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,I
'May 2013 - PCIe-to-SATA breakout board open sourced,'1-2-2-1-1-3-2-1-4,0,1,0,1,0,2,1,0,1,2,1,1,1,1,0,0,0,0,1,0,0,0,0,2,I
'March 2013 - Video of Nengo character recognition system on FPGA,'1-2-2-1-1-3-2-1-5,1,1,0,1,0,2,1,0,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,2,I
'March 2013 -,'1-2-2-1-1-3-2-1-6-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,2,I
'Paul Fox's thesis on Massively Parallel Neural Computation,'1-2-2-1-1-3-2-1-6-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
