content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Bob Coecke,'1-2-1-1,0,0,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'Professor Bob Coecke,'1-2-1-2-1-1-1-2-1-1,0,0,0,1,0,2,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,I
"'Professor of Quantum Foundations, Logics and Structures",'1-2-1-2-1-1-1-2-1-2,0,0,0,1,0,2,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,2,I
"'Fellow, Wolfson College",'1-2-1-2-1-1-1-2-1-3,0,0,0,1,0,2,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,I
'coecke(a)cs.ox.ac.uk,'1-2-1-2-1-1-1-2-1-4,0,0,0,1,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,2,I
'+44 1865 273829,'1-2-1-2-1-1-1-2-1-5-1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'+44 785 5298183,'1-2-1-2-1-1-1-2-1-5-2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Room 210, Wolfson Building, Parks Road, Oxford OX1 3QD",'1-2-1-2-1-1-1-2-2,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,I
'Interests,'1-2-1-2-1-1-2-1-1-1,0,0,1,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
"'I am interested in the Foundations of Physics, in particular the structures involved, with a strong structural bias towards Logic, Order and Category Theory, and their applications e.g. arXiv. I am also active on compositional distributional models of natural language meaming e.g. arXiv.  Some popural writing on my work are `The quantum linguist' and `Quantum mechanical words and mathematical organisms'.  Older work includes information domains e.g. arXiv, dynamic epistemic logic e.g. arXiv, and even longer ago, contextual hidden variable models and quantum logic.  I currently have twenty plus PhD students; links to them are below.  I jointly lead a multidisciplinary research group, the Quantum Group, which now has 40 plus members.  More details on my research and links to publications and talks are on my extremely outdated old informal webpage.",'1-2-1-2-1-1-2-1-1-2-1,2,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,I
