content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Michael Benedikt,'1-2-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'Professor Michael Benedikt,'1-2-1-2-1-1-2-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,I
'Professor of Computing Science,'1-2-1-2-1-1-2-2,0,0,0,1,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,2,I
'Interests,'1-2-1-2-1-2-1-1-1-1,0,0,1,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'Databases, information exchange, Web and Web 2.0 data management, logical methods in computer science.",'1-2-1-2-1-2-1-1-1-2,1,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Biography,'1-2-1-2-1-2-1-1-2-1,0,0,1,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
"'Ph.D. in mathematics from University of Wisconsin , 1993",'1-2-1-2-1-2-1-1-2-2-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,I
"'Distinguished Member of Technical Staff at Bell Laboratories, 1994- 2006",'1-2-1-2-1-2-1-1-2-2-2,1,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Links,'1-2-1-2-1-2-1-1-3-1,0,0,1,2,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'My personal homepage,'1-2-1-2-1-2-1-1-3-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,N
'Recent News,'1-2-1-2-1-2-1-1-4-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,C
'Publications,'1-2-1-2-1-2-1-1-4-2-1,0,0,0,1,0,1,0,0,1,2,1,0,1,0,0,1,0,0,0,1,0,0,0,1,N
