content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Phil Blunsom,'1-2-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'Phil Blunsom,'1-2-1-2-1-1-1-2-1,0,0,0,1,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,I
'University Lecturer,'1-2-1-2-1-1-1-2-2-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'EPSRC Early Career Fellow,'1-2-1-2-1-1-1-2-2-2,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Tutorial Fellow, St Hugh's College",'1-2-1-2-1-1-1-2-3,0,0,0,1,0,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,I
'Interests,'1-2-1-2-1-1-2-1-1-1,0,0,1,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'My research interests lie at the intersection of machine learning and computational linguistics. I apply machine learning techniques, such as graphical models, to a range of problems relating to the understanding, learning and manipulation of language. Recently I have focused on structural induction problems such as grammar induction and learning statistical machine translation models.",'1-2-1-2-1-1-2-1-1-2,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Biography,'1-2-1-2-1-1-2-1-2-1,0,0,1,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'Previously I was a Research Fellow in the School of Informatics at the University of Edinburgh, and part of the Machine Translation research group. There I worked on the application of machine learning techniques to machine translation with Miles Osborne. Before that I completed my PhD at the University of Melbourne, Australia, under the supervision of Timothy Baldwin, Steven Bird and James Curran.",'1-2-1-2-1-1-2-1-2-2,2,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Links,'1-2-1-2-1-1-2-1-3-1,0,0,1,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
'Google Scholar Profile,'1-2-1-2-1-1-2-1-3-2-1,0,0,0,1,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Computational Linguistics Group,'1-2-1-2-1-1-2-1-3-2-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Selected Publications,'1-2-1-2-1-1-2-1-4-1-1,0,0,1,2,1,2,0,0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,2,C
'View all,'1-2-1-2-1-1-2-1-4-1-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,N
'Manage publications,'1-2-1-2-1-1-2-1-4-2,0,0,0,1,0,2,1,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,3,N
