content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Photo credit: Josh Barnes,'1-1-1-2,0,0,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N
'Eric Roberts,'1-1-2-1,0,0,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,C
'Professor of Computer Science,'1-1-2-2-1-1-1-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,I
'Gates 202,'1-1-2-2-1-1-1-2,0,0,0,1,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Stanford University,'1-1-2-2-1-1-2,0,0,0,1,0,2,1,0,1,2,1,1,0,0,0,0,0,0,0,1,1,0,0,2,I
"'Stanford, CA 94305-9015",'1-1-2-2-1-1-3-1,0,0,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,1,0,1,1,0,0,2,I
'650-723-3642,'1-1-2-2-1-1-3-2,0,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'650-723-6092 [FAX],'1-1-2-2-1-1-3-3,0,0,0,1,0,0,0,0,1,2,1,0,0,1,0,1,0,0,0,1,0,0,0,2,I
'On sabbatical at Reed College for Spring 2013-14:,'1-1-2-2-1-2,0,0,0,1,0,2,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,N
'Links:,'1-1-2-2-2-1,0,0,1,1,1,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,C
'Courses,'1-1-2-2-2-2-1,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,1,0,0,0,1,0,0,0,1,I
'Books,'1-1-2-2-2-2-2,0,0,0,1,0,1,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Papers,'1-1-2-2-2-2-3,0,0,0,1,0,1,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,0,2,I
'Talks,'1-1-2-2-2-2-4,0,0,0,1,0,1,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Biographical sketch,'1-1-2-2-2-2-5,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,1,1,2,I
'Curriculum vitae [pdf],'1-1-2-2-2-2-6,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Stanford’s version of Karel the Robot,'1-1-2-2-2-2-7,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Links to articles about the rebound in CS majors,'1-1-2-2-2-2-8,0,0,0,1,0,2,1,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,2,I
'Memorial page for my late father James S. Roberts,'1-1-2-2-2-2-9,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Some personal notes from Obama’s inauguration,'1-1-2-2-2-2-10,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Notes from our political film series,'1-1-2-2-2-2-11,0,0,0,1,0,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Eric Roberts, eroberts@cs.stanford.edu",'1-2,0,0,0,1,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,N
