content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Gio Wiederhold,'1-1,0,0,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
"'Professor (Emeritus) of Computer Science, Medicine, and Electrical Engineering.",'1-2-1-1-1,0,0,0,1,0,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,I
"', advocates liberal access (see below), but takes no responsibility for use.",'1-2-1-1-2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,N
'Serra Street and Campus Drive;,'1-2-1-2-1-1-1,0,0,0,1,0,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,3,I
'Stanford University,'1-2-1-2-1-1-2,0,0,0,1,0,2,1,0,0,2,1,1,0,1,0,0,0,0,0,1,1,0,0,2,I
'Stanford CA 94305-9040,'1-2-1-2-1-1-3-1-1-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,1,1,0,0,2,I
'tel: +650 723-0872; fax: +650 725-2588,'1-2-1-2-1-1-3-1-1-2,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,2,I
'email to: wiederhold@cs.stanford.edu,'1-2-1-2-1-1-3-1-2,0,0,0,1,0,0,1,1,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,2,I
'Marianne Siroker,'1-2-1-2-1-1-3-2,0,0,0,1,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,I
"'Gates Computer Science Bldg. 4A, room 435",'1-2-1-2-1-1-4-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,I
'email to: siroker@cs.stanford.edu,'1-2-1-2-1-1-4-2,0,0,0,1,0,0,1,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,2,I
'Participant in the,'1-2-1-2-2-1,0,0,0,1,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'Computer Systems Lab (CSL),'1-2-1-2-2-2,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,I
'CAMIS Section for Medical informatics,'1-2-1-2-2-3,0,1,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Center for Integrated Facility Engineering (CIFE) of the Civil Engineering Department.,'1-2-1-2-2-4,1,1,0,1,0,2,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,I
'Knowledge Systems Lab (KSL),'1-2-1-2-2-5,0,0,0,1,0,2,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2,I
'Personal Information.,'1-2-2-1,0,0,1,2,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
"'Gio Wiederhold retired from full-time active academic service June 2001, but remains quite busy with fun projects and research outside of the University. He still teaches once or twice a year. He will not advise or take on students outside of current classes.",'1-2-2-2-2,2,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,I
'Classes,'1-2-3-1,0,0,1,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
'Fall 2013/2014:,'1-2-3-2-1-1,0,0,0,1,0,2,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,I
'CS207 The Economics of Software,'1-2-3-2-1-2,0,0,0,1,0,2,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,2,I
"', 2 units, meeting Fridays 2:15 - 4:05, Hewlett 102, starting 27 Sep.2013. Updated this year to combine course-style lectures with more outside experts for discussion.",'1-2-3-2-1-3-1-1,1,0,0,1,0,0,0,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,2,I
'Spring 2013/2014:,'1-2-3-2-1-3-1-2,0,0,0,1,0,2,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'the CS207 wiki,'1-2-3-2-1-3-2,0,0,0,1,0,2,1,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,2,I
'CS73N Freshman Seminar: Business on the Internet,'1-2-3-2-1-4,0,0,0,1,0,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,I
"', led by Avron Barr and Shirley Tessler, 3 units, meeting Thursdays 3:15 - 4:05, Fridays 2:15 - 4:05. Gates room 100 (check). Limited enrollment, WR2 credit, frosh only.",'1-2-3-2-1-5,1,0,0,1,0,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,I
"'CS 446, prior years",'1-2-3-2-2-1-1-1,0,0,0,1,0,2,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,I
'C545G Genome Databases Seminar,'1-2-3-2-2-1-1-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Material from prior years,'1-2-3-2-2-1-2,0,0,0,1,0,2,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,I
'Material from prior presentations,'1-2-3-2-2-2,0,0,0,1,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,I
'Student thesis and project supervision. Directed course Section Ids are 17(CS) and 65(EE).,'1-2-3-2-3,1,0,0,1,0,2,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,N
'Research competence:,'1-2-4-1,0,0,1,2,1,2,1,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,3,C
'Mediator Technology,'1-2-4-2,0,0,0,1,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Current Research,'1-2-5-1,0,0,1,2,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,C
"'Research undertaken after my formal retirement focuses on valuation of the intangibles inherent in software after it has been developed, and the relationships of software maintenance in the retention of its effectiveness and value. Most applications are related to offshoring.",'1-2-5-2-1,2,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,I
'Published results are listed in my publication list and on-going work can be found as work-in-progress.,'1-2-5-2-2,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Past Research Projects and Activities,'1-2-6-1,0,0,1,2,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,C
"'revolved around Large-scale Interoperation, Mediation, and Composition (LIC).",'1-2-6-2-1,0,0,0,1,0,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,N
'For instance:,'1-2-6-2-2,0,0,0,1,0,2,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,3,C
"'Managing ontologies in the context of the Semantic Web. A major project is the OntoAgents, a project under Stefan Decker's guidance within DARPA's DAML effort. An earlier project, being integrated with OntoAgents is Scalable Knowledge Composition (SKC), supported by AFOSR, which is developing an Ontology Algebra to assure scalability in the interoperation of many, heterogeneous resources.",'1-2-6-2-3-1,2,1,0,1,0,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,I
"'Compiling High-level Access Interfaces for Multi-site Software (CHAIMS), initially supported by DARPA ITO in the EDCS program, and now continued with support from ORD and CIFE.",'1-2-6-2-3-2,1,1,0,1,0,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Access to and Formalization of Building Regulations, Supported by NSF ITR, at CIFE, Dept. of Civil Engineering. See REGNET, under direction of Professor Kincho Law, CIFE. The REGNET project is being initiated, and is looking for an interested and capable student.",'1-2-6-2-3-3,2,1,0,1,0,2,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,I
'Protection of Privacy in Collaborative Settings. The novel concept is symmetric protection of access and release of information.,'1-2-6-2-3-4-1,1,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Trusted Interoperation of Healthcare Information Secure Access Wrappers (SAW),'1-2-6-2-3-4-2,1,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'processing and content-based retrieval of image data,'1-2-6-2-3-5-1,0,0,0,1,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,I
'(TID),'1-2-6-2-3-5-2,0,0,0,1,0,0,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,2,I
'NSF Digital Library II initiative,'1-2-6-2-3-5-3-1,0,0,0,1,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,1,2,I
"'Application of mediating and security technologies in a repository, PharmGKB, to document linkages of phenotypic observations in patient populations to genotypic findings.",'1-2-6-2-3-6,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,I
"'A Simulation Access Language (SimQL) enabling integration and reuse of simulations within information systems. While I am not active in this area nopw, I still believe it will be a fruitful new area for future research and application.",'1-2-6-2-3-7,2,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,I
"'A meta issue for all these efforts is improving the transition of technology into practice, which is best accomplished through early engagement and support to companies who can help in development and then serve as demonstration and transfer sites to end-users.",'1-2-6-2-3-8,2,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,I
'earlier research projects,'1-2-6-2-4,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,2,N
'Publications:,'1-2-7-1,0,0,1,2,1,1,0,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,3,C
"'A book that explains and analyzes quantitatively the valuation opf intellectual property and the resulting controversies in taxation of high-technology companies as Apple, Google, etc., by their use of tax havens: Gio Wiederhold: Valuing Intellectual Capital, Multinationals and Taxhavens ; series Management for Professionals, Springer Verlag, New York, August 2013, also available as an eBook. Pointers and background resources.",'1-2-7-2-1,2,0,0,1,0,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'Many recent or important papers, as well as many viewgraphs, are available free via the ACM Digtal Library or directly to net browsers. An up-to-date list of all my papers is also available. A list of pointers to abstracts for presentations is also available.",'1-2-7-2-2,2,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Research bibliographies I collected of current and past (pre 1991) work by others related to my interests are also available.,'1-2-7-2-3,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,2,I
"'I keep accessible some work-in-progress, not for general distribution. My general policy is that readers are free to peruse all my files that are not specifically access protected, but if material is used, I request that appropriate credit is given.",'1-2-7-2-4,2,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Gio also participates, with Voy, in setting up educational Computer Exhibits for the Computer Science Department in the Gates building. We update the exhibits on an incremental basis. A photo tour, based on the exhibits as of July 1999, is now on-line. We are also building a forest of Stanford faculty student trees. There is also a related Stanford History wiki site. Suggestions are welcome.",'1-2-7-2-5,2,0,0,1,0,2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Gio created a Movie database {films, directors, actors, roles, remakes, studios} which has been been used for class projects as well as for fun. It has information on about 10 000 mainly classical or weird movies and their history.",'1-2-7-2-6,2,0,0,1,0,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Distinctions:,'1-2-8-1,0,0,1,2,1,1,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
'American College of Medical Informatics AMIA,'1-2-8-2-1-1-1,0,0,0,1,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'(IEEE),'1-2-8-2-1-1-2,0,0,0,1,0,0,1,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,0,2,I
'TC2 WG2.6,'1-2-8-2-1-2,0,0,0,1,0,2,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,I
