content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Dr Markus Kuhn,'1-2-2-2-1-1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,C
'I am a University Senior Lecturer in Computer Science at the University of Cambridge Computer Laboratory and a Fellow of Wolfson College.,'1-2-2-2-1-2-2-1-1,1,0,0,1,0,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,I
"'PhD, University of Cambridge (2002),",'1-2-2-2-1-2-2-1-2-1-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,2,I
'Marie Curie scholarship,'1-2-2-2-1-2-2-1-2-1-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Purdue University,'1-2-2-2-1-2-2-1-2-2-1,0,0,0,1,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Fulbright scholarship,'1-2-2-2-1-2-2-1-2-2-2,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'University of Erlangen,'1-2-2-2-1-2-2-1-2-3-1,0,0,0,1,0,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Studienstiftung des deutschen Volkes,'1-2-2-2-1-2-2-1-2-3-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Primarily a computer scientist by training, I also have backgrounds in electronics, digital signal processing, communications engineering, and physiology. My broader interests cover most aspects of applied computer science and technology, including neurophysiology and robotics.",'1-2-2-2-1-2-2-1-3,2,0,0,1,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,I
"'My research and that of my PhD students has focused so far on computer security, in particular hardware and signal-processing aspects of this very wide field. Compromising emanations, RFID security, and the security of positioning systems (distance-bounding protocols, authentication of navigation signals) have recently been particular areas of interest. I also worked in the past on hardware tamper resistance, smartcards, network security, “intellectual property” protection technology (in particular pay-TV conditional access), data compression, video and audio technology, FPGA applications, and some standardization matters (character sets, semi-structured data, file formats, etc.).",'1-2-2-2-1-2-2-1-4,2,0,0,1,0,0,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,2,I
'Publications,'1-2-2-2-1-2-2-1-5-1,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,1,0,0,0,1,0,0,0,2,I
'Project ideas for local students,'1-2-2-2-1-2-2-1-5-2,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,2,I
'Consulting services,'1-2-2-2-1-2-2-1-5-3,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
