content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Thomas Sauerwald,'1-2-2-1-2-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'University Lecturer at the Computer Laboratory (since July 2013).,'1-2-2-1-2-2-1,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,I
'Contact Details,'1-2-2-1-2-2-2,0,0,1,2,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2,C
'Dr Thomas Sauerwald,'1-2-2-2-1-1-1,0,0,0,1,0,2,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,I
'University of Cambridge,'1-2-2-2-1-1-2,0,0,0,1,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,2,I
'Computer Laboratory,'1-2-2-2-1-1-3,0,0,0,1,0,2,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,2,I
'15 JJ Thomson Avenue,'1-2-2-2-1-1-4,0,0,0,1,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Cambridge CB3 0FD,'1-2-2-2-1-1-5,0,0,0,1,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,2,I
'United Kingdom,'1-2-2-2-1-1-6,0,0,0,1,0,2,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,2,I
'Email:,'1-2-2-2-1-2-1-1,0,0,0,1,0,1,0,2,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,2,C
'firstname.lastname at cl.cam.ac.uk,'1-2-2-2-1-2-1-2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Phone:,'1-2-2-2-1-2-2-1,0,0,0,1,0,1,0,2,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,2,C
'+44 1223 763538,'1-2-2-2-1-2-2-2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Fax:,'1-2-2-2-1-2-3-1,0,0,0,1,0,1,0,2,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,2,C
'+44 1223 334678,'1-2-2-2-1-2-3-2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Research Interests,'1-2-2-2-2,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,2,C
'Randomized algorithms,'1-2-2-3-1-1,0,1,0,1,0,2,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,I
'Markov chains and random walks,'1-2-2-3-1-2,0,1,0,1,0,2,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Distributed computing,'1-2-2-3-1-3,0,1,0,1,0,2,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,2,I
'Graph Theory,'1-2-2-3-1-4,0,1,0,1,0,2,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,2,I
'Game Theory,'1-2-2-3-1-5,0,1,0,1,0,2,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,2,I
'Selected Publications,'1-2-2-3-2,0,0,1,2,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,C
"'For the complete list of my publications, please see my DBLP entry.",'1-2-2-4-1-1-1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,N
"'Load Balancing  The problem of load balancing on large networks is to find distributed algorithms that balance the load across the units of the network efficiently. Most of our work focuses on two popular communication models, the diffusion and the matching model. For both models, we analyze several iterative protocols that employ the idea of randomized rounding. We show that these protocols almost achieve the same discrepancy within the same number of rounds as their counterparts for the case of divisible load.",'1-2-2-4-1-1-2,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,I
'Balls into Bins via Local Search: Cover Time and Maximum Load,'1-2-2-4-1-2-1-1-1-1,1,0,0,1,1,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Arxiv,'1-2-2-4-1-2-1-1-1-2,0,0,0,1,0,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Balls into Bins via Local Search,'1-2-2-4-1-2-1-1-2-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Arxiv,'1-2-2-4-1-2-1-1-2-2,0,0,0,1,0,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Tight Bounds For Randomized Load Balancing on Arbitrary Network Topologies,'1-2-2-4-1-2-1-2-1-1-1,1,0,0,1,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Arxiv,'1-2-2-4-1-2-1-2-1-1-2,0,0,0,1,0,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Distributed Selfish Load Balancing on Networks,'1-2-2-4-1-2-1-2-1-2-1,0,0,0,1,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
"'ACM Transactions on Algorithms, to appear. Preliminary version appeared in SODA'11.",'1-2-2-4-1-2-1-2-1-2-2,1,0,0,1,0,2,0,0,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,2,I
'Quasirandom Load Balancing,'1-2-2-4-1-2-1-2-2-1-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
"'SIAM Journal on Computing, 41(4):747-771, 2012. Preliminary version appeared in SODA'10, pages 1620-1629.",'1-2-2-4-1-2-1-2-2-1-2,1,0,0,1,0,2,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,I
'Smoothed Analysis of Balancing Networks,'1-2-2-4-1-2-1-2-2-2-1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
"'Random Structures & Algorithms, 39(1):115-138, 2011. Preliminary version appeared in ICALP'09, pages 472-483.",'1-2-2-4-1-2-1-2-2-2-2,1,0,0,1,0,2,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,I
'The Impact of Randomization in Smoothing Networks,'1-2-2-4-1-2-1-3-1-1,0,0,0,1,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
"'Distributed Computing, 22(5-6), pages 381-411, 2010. Preliminary version appeared in PODC'08, pages 345-354.",'1-2-2-4-1-2-1-3-1-2,1,0,0,1,0,2,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,I
