content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Marcelo Fiore,'1-1-2,0,0,0,2,1,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,C
'Computer Laboratory University of Cambridge,'1-1-3-1,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,I
'Mathematical Foundations of Computer Science,'1-1-3-2-1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,I
'Christ's College,'1-1-3-2-2,0,0,0,0,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,N
'Research,'1-2-1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,3,C
'Interests,'1-2-2-1-1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Mathematical models of computation; denotational and operational semantics of programming languages and interactive systems; type systems and program logics for functional and concurrent computation; applications of category theory to computer science.,'1-2-2-1-2,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Book,'1-2-2-2-1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,I
'Axiomatic Domain Theory in Categories of Partial Maps.,'1-2-2-2-2-1,0,0,0,1,0,2,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,I
"'Cambridge University Press, Distinguished Dissertations in Computer Science, 1996.",'1-2-2-2-2-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,2,I
'Research Programme,'1-2-2-3-1,0,0,0,1,0,2,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,2,I
"'Algebraic Meta-Theories and Synthesis of Equational Logics , 2009.",'1-2-2-3-2,1,1,0,1,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Papers and talks,'1-2-2-4-1,0,0,0,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,I
'Latest,'1-2-2-4-2-1,0,0,0,1,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,I
'Collection,'1-2-2-4-2-2-1,0,0,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,I
'Algebra,'1-2-2-4-2-2-2-1,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Concurrency,'1-2-2-4-2-2-2-2,0,0,0,1,0,1,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Domains,'1-2-2-4-2-2-2-3,0,0,0,1,0,1,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'PreSheaves,'1-2-2-4-2-2-2-4,0,0,0,1,0,1,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Types,'1-2-2-4-2-2-2-5,0,0,0,1,0,1,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,1,2,I
'Rough Notes.,'1-2-2-5,0,1,0,1,0,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,I
'Teaching,'1-3-1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,C
'Undergraduate:,'1-3-2-1-1,0,0,0,1,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,I
'Discrete Mathematics II.,'1-3-2-1-2-1,0,1,0,1,0,2,1,0,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,2,I
'Concepts in Programming Languages.,'1-3-2-1-2-2,0,1,0,1,0,2,1,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Denotational Semantics.,'1-3-2-1-2-3,0,1,0,1,0,2,1,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Postgraduate:,'1-3-2-2-1,0,0,0,1,0,1,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,I
'Categorical Models of Computational Languages.,'1-3-2-2-2,0,1,0,1,0,2,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
