content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Michael J. C. Gordon,'1-1-2-2-1-1-1,0,0,0,1,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'Professor of Computer Assisted Reasoning,'1-1-2-2-1-1-2-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,I
'15 JJ Thomson Avenue,'1-1-2-2-1-1-2-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'+441223334627 +447774017428 +441223334678,'1-1-2-2-1-2,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,I
'email: mjcg,'1-1-2-2-2-1,0,0,0,1,0,0,0,1,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,2,I
'cl.cam.ac.uk,'1-1-2-2-2-2,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Past research,'1-2-1-1,0,0,1,2,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,C
'Why higher order logic is a good formalism for specifying and verifying hardware,'1-2-1-2-1-1-1,1,0,0,1,0,0,1,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,I
'Mechanizing programming logics in higher order logic,'1-2-1-2-1-1-2,0,0,0,1,0,0,1,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,2,I
'From LCF to HOL: a short history,'1-2-1-2-1-1-3,0,0,0,1,0,2,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'State Transition Assertions (STAs),'1-2-1-2-1-1-4,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Combining set theory and type theory,'1-2-1-2-1-1-5,0,0,0,1,0,0,1,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,2,I
'Verilog HDL,'1-2-1-2-1-1-6,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Comparing HOL and PVS,'1-2-1-2-1-1-7,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'PROSPER: Proof and Specification Assisted Design Environments,'1-2-1-2-1-1-8,0,0,0,1,0,2,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Christopher Strachey: recollections of his influence,'1-2-1-2-1-1-9,0,0,0,1,0,2,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Formal Specification and Verification of ARM6,'1-2-1-2-1-1-10,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Directions in Formal and Semi-Formal Verification,'1-2-1-2-1-1-11,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Fully Expansive Proof and Algorithmic Verification,'1-2-1-2-1-1-12,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,1,2,I
"'HolBddLib, HolSatLib, puzzleTool",'1-2-1-2-1-2,0,1,0,0,0,2,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,I
'Deep embedding of Accellera PSL (IBM Sugar 2.0) in HOL,'1-2-1-2-2-1,1,0,0,1,0,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Programming combinations of deduction and BDD-based symbolic calculation,'1-2-1-2-2-2,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'STRL Annual Distinguished Seminar,'1-2-1-2-2-3,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,1,1,2,I
'Invited talk at CAV 2003,'1-2-1-2-2-4,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Strachey Lecture,'1-2-1-2-2-5,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,1,1,2,I
'PSL Semantics in Higher Order Logic (contribution to DCC 2004),'1-2-1-2-2-6,1,1,0,1,0,2,1,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,2,I
'Translating HOL to hardware (FAQ),'1-2-1-2-2-7,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Linking the HOL4 and ACL2 proof systems,'1-2-1-2-2-8,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,1,1,2,I
'Mechanically Proving Hoare Formulae (talk given at event celebrating Tony Hoare's 75th birthday),'1-2-1-2-2-9,1,1,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'The MITB project,'1-2-1-2-2-10,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Teaching,'1-2-2-1,0,0,1,2,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,C
'Hoare Logic,'1-2-2-2-1,0,0,0,1,0,2,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,I
'Temporal Logic and Model Checking,'1-2-2-2-2,0,0,0,1,0,2,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,2,I
"'Notes for a talk given to incoming PhD students on October 18, 2013",'1-2-2-2-3,1,1,0,1,0,2,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,2,I
