content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Richard Gibbens,'1-2-2-1-1-1-2-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
"'I am a Reader in Network Modelling in the Computer Laboratory, University of Cambridge with research interests in the mathematical modelling of networks especially communciation networks, road transport networks and more recently energy networks.",'1-2-2-1-1-1-2-2-1-1,2,0,0,1,0,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'My teaching includes a range of courses in the Computer Science Tripos and MPhil ACS dealing with fundamental mathematics and its applications in computer science.,'1-2-2-1-1-1-2-2-1-2,1,0,0,1,0,2,0,0,1,2,1,0,1,1,1,1,0,0,0,0,0,0,0,2,I
"'I am also a Fellow of Gonville and Caius College, Cambridge.",'1-2-2-1-1-1-2-2-1-3,1,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,2,I
'Contact information,'1-2-2-1-1-1-2-2-2-1,0,0,1,1,1,2,0,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,2,C
'Dr R.J. Gibbens,'1-2-2-1-1-1-2-2-2-2-1-1,0,0,0,1,0,2,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,I
"'Computer Laboratory, University of Cambridge",'1-2-2-1-1-1-2-2-2-2-1-2,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,1,0,0,0,1,1,0,0,2,I
"'William Gates Building, 15 JJ Thomson Avenue, Cambridge, CB3 0FD, United Kingdom",'1-2-2-1-1-1-2-2-2-2-1-3,1,0,0,1,0,2,0,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,2,I
'Further information,'1-2-2-1-1-1-2-2-2-2-2-1,0,0,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'Research,'1-2-2-1-1-1-2-2-2-2-2-2,0,0,0,1,0,1,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,0,1,I
'Teaching,'1-2-2-1-1-1-2-2-2-2-2-3,0,0,0,1,0,1,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,0,2,I
'Miscellaneous,'1-2-2-1-1-1-2-2-2-2-2-4,0,0,0,1,0,1,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Phone:,'1-2-2-1-1-2-1-1,0,0,0,1,1,1,0,2,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,2,C
'+44 1223 335399,'1-2-2-1-1-2-1-2,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Fax:,'1-2-2-1-1-2-2-1,0,0,0,1,1,1,0,2,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,2,C
'+44 1223 334678,'1-2-2-1-1-2-2-2,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Email:,'1-2-2-1-1-2-3-1,0,0,0,1,1,1,0,2,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,2,C
'richard.gibbens at cl.cam.ac.uk,'1-2-2-1-1-2-3-2,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Quick links,'1-2-2-1-2-1,0,0,0,1,0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,N
'Computer Laboratory,'1-2-2-1-2-2,0,0,0,1,0,2,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,3,N
'Directions to Computer Laboratory,'1-2-2-1-2-3,0,0,0,1,0,2,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,3,N
'University of Cambridge,'1-2-2-1-2-4,0,0,0,1,0,2,1,0,2,1,1,0,1,1,0,0,0,0,0,1,1,0,0,3,N
'Publications,'1-2-2-1-2-5,0,0,0,1,0,1,1,0,2,1,1,0,1,1,0,1,0,0,0,1,0,0,0,3,N
'Short bio,'1-2-2-1-2-6,0,0,0,1,0,2,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,N
