content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Ted Briscoe,'1-1,0,0,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
"'Professor of Computational Linguistics, NLIP Group",'1-2-1-2,0,0,0,1,0,2,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,I
"'Professorial Fellow, Girton College",'1-2-1-3-1,0,0,0,1,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
"'Computer Laboratory, University of Cambridge,",'1-2-1-3-2,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,1,0,0,0,1,1,0,0,2,I
"'William Gates Building, JJ Thomson Avenue",'1-2-1-4,0,0,0,1,0,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,I
"'CAMBRIDGE CB3 OFD, United Kingdom.",'1-2-1-5,0,0,0,1,0,2,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,2,I
"'work: (+44) 1223 334616, fax: (+44) 1223 334678, home: (*1) 41341",'1-2-1-6,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2,I
'email: ejb at domain cl.cam.ac.uk,'1-2-2-1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2,I
'Contact Information,'1-2-2-2-1-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,2,C
"'Email preferred, but WARNING: I filter email, so e.g. use your university account",'1-2-2-2-1-2-1,1,0,0,1,0,2,0,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,N
'Research Interests,'1-2-2-2-1-2-2,0,0,1,2,1,2,0,0,1,2,0,0,0,1,0,1,0,0,0,1,0,1,1,3,C
'Computational Linguistics,'1-2-2-2-2-1,0,1,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Speech and Language Processing,'1-2-2-2-2-2,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Textual Information Management,'1-2-2-2-2-3,0,1,0,1,0,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Evolutionary Linguistics,'1-2-2-3-1-1-1,0,0,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'My short bio(.html),'1-2-2-3-1-1-2,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,N
'My CV(.pdf),'1-2-2-3-1-1-3,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,3,N
'My Papers,'1-2-2-3-1-2,0,0,1,2,1,2,0,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,3,C
'Google Scholar Search,'1-2-2-3-2-1,0,0,0,1,0,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Google Scholar Profile,'1-2-2-3-2-2,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'MS Academic Search,'1-2-2-3-2-3,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Research Gate,'1-2-2-3-2-4,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,1,0,0,0,1,0,0,0,2,I
'ACL Anthology Network,'1-2-2-4-1,0,0,0,1,0,2,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,I
"'More On-line Research Papers, Talks, etc",'1-2-2-4-2-1,0,0,0,2,1,2,1,0,1,2,1,0,1,0,0,1,0,0,0,1,0,0,0,2,N
'The Alta Institute,'1-2-2-4-2-2,0,0,0,2,1,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,3,N
'Other Research Projects and Related Resources,'1-2-2-4-2-3,0,0,0,2,1,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,0,3,N
'My Doctoral Students and Postdoctoral Researchers,'1-2-2-4-2-4,0,0,0,2,1,2,1,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,3,N
'The Natural Language and Information Processing Research Group,'1-2-2-4-2-5,0,0,0,2,1,2,1,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,3,N
'The Computer Science Tripos and MPhil in Advanced Computer Science,'1-2-2-4-2-6,1,0,0,2,1,2,1,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,3,N
'NLP Resources and Associations,'1-2-2-4-2-7,0,0,0,2,1,2,1,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,3,N
'NLP Journals (I help edit),'1-2-2-4-2-8,0,0,0,2,1,2,1,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,3,N
'Consultancy (iLexIR) and Non-Academic Activities,'1-2-2-4-2-9,0,0,0,2,1,2,1,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,3,N
