content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
"'Timothy G. Griffin
Computer Laboratory
University of Cambridge
William Gates Building 
15 JJ Thomson Avenue 
Cambridge - CB3 0FD - UK 
Tel: +44 1223 334431
Fax: +44 1223 334678
Email: Timothy.Griffin@cl.cam.ac.uk",'1-2-1-2-2,1,0,0,0,0,2,1,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,I
'Lectures,'1-2-2-1-1,0,0,0,1,1,1,0,0,1,2,0,1,0,0,0,1,0,0,0,1,0,1,1,2,C
'Undergraduate: Compiler Construction and Databases,'1-2-2-1-2-1,0,1,0,1,0,2,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'MPhil ACS : An Algebraic Approach to Internet Routing,'1-2-2-1-2-2,1,1,0,1,0,2,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Research Area,'1-2-2-2-1,0,0,0,1,0,2,0,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,2,C
'Metarouting Project,'1-2-2-2-2-1,0,0,0,1,0,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,1,1,1,I
'Publications by year,'1-2-2-2-2-2,0,1,0,1,0,2,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,0,2,I
"'Member of these Computer Lab research groups: Programming, Logic, and Semantics Group || The Systems Research Group",'1-2-2-2-2-3,1,1,0,1,0,2,1,1,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,2,I
'Community Service,'1-2-2-2-2-4,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,1,2,I
"'Short bio: BS in Mathematics from the University of Wisconsin, Madison. PhD in Computer Science from Cornell University. Previous experience includes teaching at UNICAMP in Brazil and more than a dozen years at Bell Laboratories and AT&T Research. Joined the Computer Lab on January 1, 2005.",'1-2-3,2,1,0,1,0,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2,C
'Page last updated 1 November 2012.,'1-3,0,0,0,1,0,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,N
