content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'Call for Papers,'1-2-1-1-1-1,0,0,1,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,C
'Computer Graphics International 2011,'1-2-1-1-1-2-1,0,0,1,2,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,C
"'Ottawa, Ontario, Canada on June 12-15, 2011",'1-2-1-1-1-2-2-1,0,0,1,2,1,2,0,0,0,2,1,1,0,0,0,1,0,0,1,0,1,0,0,1,I
"'As one of the oldest International Computer Graphics conferences in the world, Computer Graphics International (CGI) has been a major conference in the area. You are invited to submit your contribution in the CGI'11 conference, which will be held in Ottawa, Ontario, Canada on June 12-15, 2011.",'1-2-1-1-1-2-2-2-1-1,2,0,0,2,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,N
"'Located on the border of Anglophone and Francophone of Canada Ottawa is one of the most beautiful G8 capitals in the world and has been selected as the Best Place to Live 2010 in Canada. Ottawa is also rich in culture and heritage with parklands, waterways and historic architecture; notably the Rideau Canal, Ontario's first UNESCO World Heritage Site, which becomes the world's largest naturally frozen skating rink in winter. The historic Parliament Hill is the seat of Canada's national government. Besides being a travellers’ attraction on its own, it is also near other popular cities such as Montreal, Toronto, Quebec City, and Niagara Falls.",'1-2-1-1-1-2-2-2-1-2,2,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,N
'Paper Publication:,'1-2-1-1-1-2-2-2-2,0,0,1,2,1,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,C
"'The 30~35 best accepted papers will be published in the Visual Computer at the time of the Conference. Next best accepted papers will appear in the electronic proceedings with ISBN and they will be also invited to submit, after the conference, an improved version for the Visual Computer.",'1-2-1-1-1-2-2-3-1-1,2,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,N
"'Paper submission Link is provided in conference website, http://cgi2011.site.uottawa.ca/Submission.php",'1-2-1-1-1-2-2-3-1-2,0,0,0,2,0,2,1,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,3,N
'Important Dates:,'1-2-1-1-1-2-2-3-2,0,0,1,2,1,2,0,2,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,3,C
'Full Paper Submission Deadline:,'1-2-1-1-2-1-1-1,0,0,1,2,1,2,0,2,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,C
"'February 8th 12th 23:59 GMT, 2011",'1-2-1-1-2-1-1-2,0,0,0,1,0,2,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,I
'Notification of Full Paper Acceptance:,'1-2-1-1-2-1-2-1,0,0,1,2,1,2,0,2,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,2,C
"'March 10th (Thursday), 2011",'1-2-1-1-2-1-2-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,I
'Camera ready for 35 best papers:,'1-2-1-1-2-1-3-1,0,0,1,2,1,0,0,2,1,2,0,0,1,0,1,0,0,0,0,1,1,0,0,2,C
"'March 19th (Saturday), 2011",'1-2-1-1-2-1-3-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,I
'Camera ready for full papers:,'1-2-1-1-2-1-4-1,0,0,1,2,1,2,0,2,1,2,0,0,1,0,1,0,0,0,0,1,1,0,0,2,C
"'March 31st (Thursday), 2011",'1-2-1-1-2-1-4-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,I
'Short Paper Submission Deadline:,'1-2-1-1-2-1-5-1,0,0,1,2,1,2,0,2,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,2,C
