content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Alfonso Bueno-Orovio,'1-2-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'Alfonso Bueno-Orovio,'1-2-1-2-1-1-1-2-1-1,0,0,0,1,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Senior Researcher,'1-2-1-2-1-1-1-2-1-2,0,0,0,1,0,2,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'alfonso.bueno < at > cs.ox.ac.uk,'1-2-1-2-1-1-1-2-1-3,0,0,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'+44 1865 610737,'1-2-1-2-1-1-1-2-1-4,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Wolfson Building, Parks Road, Oxford OX1 3QD",'1-2-1-2-1-1-1-2-2,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,I
'Interests,'1-2-1-2-1-1-2-1-1,0,0,1,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
"'I use an integrative approach to cardiac electrophysiology research, combining clinical and experimental data, modelling and simulation, to investigate cardiac arrhythmias and possible therapeutic targets. Translation of results from basic science to clinical and industrial applications is central to my work via collaboration with clinicians and industrial partners. My current research interests focus on the improved modelling of cardiac conduction, variability, characterization of substrates for ventricular arrhythmias, signalling pathways in atrial fibrillation, and inflammatory response during myocardial ischemia.",'1-2-1-2-1-1-2-1-2-1-1,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Academic Links: Google Scholar | Research Gate | OrCiD | ImpactStory,'1-2-1-2-1-1-2-1-2-1-2,1,0,0,1,0,2,1,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,N
'Research areas and Collaborators:,'1-2-1-2-1-1-2-1-2-2-1,0,0,0,1,1,2,0,2,1,2,0,1,0,0,0,1,0,0,0,0,0,1,1,3,C
"'Computational cardiac electrophysiology: Dr Blanca Rodriguez, Dr Ana Minchole (Department of Computer Science, Oxford); Dr Esther Pueyo (University of Zaragoza).",'1-2-1-2-1-1-2-1-2-2-2-1,1,1,0,1,0,2,1,1,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,I
"'Advanced scientific computing: Prof Kevin Burrage, Dr David Kay (Department of Computer Science, Oxford).",'1-2-1-2-1-1-2-1-2-2-2-2,1,1,0,1,0,2,1,1,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,2,I
"'Clinical cardiac electrophysiology: Prof Peter Taggart, Dr Ben Hanson, Dr Pier Lambiase, Dr Michele Orini (Heart Hospital and University College London).",'1-2-1-2-1-1-2-1-2-2-2-3,1,1,0,1,0,2,1,1,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,2,I
"'Atrial fibrillation: Prof Barbara Casadei (Department of Cardiovascular Medicine, Oxford); Prof Ursula Ravens (Department of Pharmacology and Toxicology, University of Technology Dresden).",'1-2-1-2-1-1-2-1-2-2-2-4,1,1,0,1,0,2,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Cardiac magnetic resonance imaging: Dr Vicente Grau (Department of Bioengineering, Oxford); Dr Erica Dall' Armelina, Dr Rina Ariga and Prof Hugh Watkins (Department of Cardiovascular Medicine, Oxford).",'1-2-1-2-1-1-2-1-2-2-2-5,1,1,0,1,0,2,1,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,2,I
'Awards:,'1-2-1-2-1-1-2-1-2-3-1,0,0,0,1,1,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,2,C
'EPSRC Impact Acceleration Award (2013-2014).,'1-2-1-2-1-1-2-1-2-3-2-1,0,1,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'Torres Quevedo Award, for transfer of PhD doctors to private companies (Ministerio de Ciencia e Innovación, Spain, 2008).",'1-2-1-2-1-1-2-1-2-3-2-2,1,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Student Prize on Computational Engineering (Bavarian Graduate School of Computational Engineering, Germany, 2007).",'1-2-1-2-1-1-2-1-2-3-2-3,1,0,0,1,0,2,0,0,1,2,1,0,1,1,1,0,0,1,0,0,0,1,1,2,I
"'SIAM Student Prize (Society for Industrial and Applied Mathematics, U.S.A., 2004).",'1-2-1-2-1-1-2-1-2-3-2-4,1,1,0,1,0,2,0,0,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0,2,I
'Dphil Students:,'1-2-1-2-1-1-2-1-2-4-1,0,0,0,1,1,2,0,2,1,2,0,1,0,0,0,1,0,0,0,1,0,1,1,2,C
'Oliver Britton (joint supervision with Blanca Rodriguez; expected October 2014).,'1-2-1-2-1-1-2-1-2-4-2-1,1,1,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,I
'Xin Zhou (joint supervision with Blanca Rodriguez and Kevin Burrage; expected October 2015).,'1-2-1-2-1-1-2-1-2-4-2-2,1,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,1,0,0,0,0,2,I
'Louie Cardone-Noott (joint supervision with Blanca Rodriguez and Kevin Burrage; expected October 2015).,'1-2-1-2-1-1-2-1-2-4-2-3,1,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,1,0,0,0,0,2,I
'Anna Muszkiewicz (joint supervision with Blanca Rodriguez; expected October 2016).,'1-2-1-2-1-1-2-1-2-4-2-4,1,1,0,1,0,2,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,2,I
'Students’ Awards,'1-2-1-2-1-1-2-1-2-5-1,0,0,0,1,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,2,C
"'Xin Zhou, Microsoft Research Project Award, Systems Biology Doctoral Training Centre, Oxford, 2012.",'1-2-1-2-1-1-2-1-2-5-2-1,1,1,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'Oliver Britton, Best Project Award, Systems Biology Doctoral Training Centre, Oxford, 2011.",'1-2-1-2-1-1-2-1-2-5-2-2,1,1,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Biography,'1-2-1-2-1-1-2-2-1,0,0,1,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
"'After completion of my PhD studies, I spent  two years working in industry",'1-2-1-2-1-1-2-2-2-1,1,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"', in the development of telecommunication networks and as Research & Development Manager. This was followed by a Postdoctoral position at the Department of Mathematics and Computer Science of the Universidad Politécnica de Madrid, under a research initiative funded by AIRBUS Operations for advanced shape optimisation applied to aeronautical design. In September 2010, I joined the Computational Biology Group at the Department of Computer Science at Oxford, as a Postdoctoral Research Assistant in Computational Cardiac Electrophysiology with Dr. Blanca Rodriguez, funded by the preDiCT project and later by Dr. Rodriguez’ MRC award. In February 2012 I joined the Oxford Collaborative Centre for Applied Mathematics, for the development of innovative frameworks for the description of electrical propagation in cardiac tissue. Now I'm back to the Department of Computer Science, where I continue collaborating with Dr. Blanca Rodriguez funded by her Wellcome Trust Senior Research Fellowship in Biomedical Sciences.",'1-2-1-2-1-1-2-2-2-2,2,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Selected Publications,'1-2-1-2-1-1-2-3-1-1,0,0,1,2,1,2,0,0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,2,C
'View all,'1-2-1-2-1-1-2-3-1-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,N
'Manage publications,'1-2-1-2-1-1-2-3-2,0,0,0,1,0,2,1,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,3,N
'Na/K pump regulation of cardiac repolarization: Insights from a systems approach,'1-2-1-2-1-1-3-1-1,1,0,0,1,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,I
'Bueno−Orovio A‚ Sánchez C‚ Pueyo E and Rodriguez B,'1-2-1-2-1-1-3-1-2,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'In Pflügers Archiv European Journal of Physiology. 2013.,'1-2-1-2-1-1-3-1-3,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,1,0,0,0,0,0,2,I
'Details | BibTeX,'1-2-1-2-1-1-3-1-4,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,N
'Experimentally−calibrated population of models predicts and explains inter−subject variability in cardiac cellular electrophysiology,'1-2-1-2-1-1-3-2-1,1,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,I
'O. Britton‚ A. Bueno−Orovio‚ K. Van Ammel‚ HR. Lu‚ R. Towart‚ DJ. Gallacher and B. Rodriguez,'1-2-1-2-1-1-3-2-2,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'In Proceedings of the National Academy of Sciences. 2013.,'1-2-1-2-1-1-3-2-3,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Details | BibTeX,'1-2-1-2-1-1-3-2-4,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,N
'The Na+/K+ pump is an important modulator of refractoriness and rotor dynamics in human atrial tissue,'1-2-1-2-1-1-3-3-1,1,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,I
'C. Sánchez‚ A. Corrias‚ A. Bueno−Orovio‚ M. Davies‚ J. Swinton‚ I. Jacobson‚ P. Laguna‚ E. Pueyo and B. Rodŕıguez,'1-2-1-2-1-1-3-3-2,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'In American Journal of Physiology−Heart and Circulatory Physiology. Vol. 302. No. 5. Pages H1146–H1159. 2012.,'1-2-1-2-1-1-3-3-3,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Details | BibTeX,'1-2-1-2-1-1-3-3-4,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,N
'Info,'1-2-1-2-1-2-1,0,0,1,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,C
'Themes,'1-2-1-2-1-2-2-1-1,0,0,0,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Computational Biology,'1-2-1-2-1-2-2-1-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Activities,'1-2-1-2-1-2-2-2-1,0,0,0,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Computational Heart Modelling  | Cardiac Physiology  | Computational Biology group,'1-2-1-2-1-2-2-2-2,1,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Current Students,'1-2-1-2-1-2-2-3-1,0,0,0,1,1,2,0,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,2,I
'Oliver Britton,'1-2-1-2-1-2-2-3-2-1-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Louie Cardone-Noott,'1-2-1-2-1-2-2-3-2-2-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Xin Zhou,'1-2-1-2-1-2-2-3-2-3-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Share this page: Facebook Twitter Digg Del.icio.us StumbleUpon,'1-2-1-2-2,0,0,0,1,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,N
'Main sections,'1-2-2-1-1,0,0,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,C
'Home,'1-2-2-1-2-1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Prospective Students,'1-2-2-1-2-2,0,0,0,1,0,2,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,2,I
'Current Students,'1-2-2-1-2-3,0,0,0,1,0,2,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,2,I
'Research,'1-2-2-1-2-4,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,2,I
'People,'1-2-2-1-2-5,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'News,'1-2-2-1-2-6,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Events,'1-2-2-1-2-7,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Vacancies & Studentships,'1-2-2-1-2-8,0,0,0,1,0,2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Contact Us,'1-2-2-1-2-9,0,0,0,1,0,2,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,2,I
'Alumni,'1-2-2-1-2-10,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Industry Liaison,'1-2-2-1-2-11,0,0,0,1,0,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'RSS Feeds,'1-2-2-2-1-1,0,0,1,2,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,C
'News,'1-2-2-2-1-2-1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,I
'News,'1-2-2-2-1-2-2-1,0,0,1,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,I
'All news,'1-2-2-2-1-2-2-2-1,0,0,0,1,0,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,I
'Awards,'1-2-2-2-1-2-2-2-2,0,0,0,1,0,1,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Events,'1-2-2-2-1-2-2-2-3,0,0,0,1,0,1,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Miscellaneous,'1-2-2-2-1-2-2-2-4,0,0,0,1,0,1,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Project news,'1-2-2-2-1-2-2-2-5,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Publications,'1-2-2-2-1-2-2-2-6,0,0,0,1,0,1,1,0,1,2,1,0,1,1,0,1,0,0,0,1,0,0,0,2,I
