content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Bahareh Afshari,'1-2-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'Dr Bahareh Afshari,'1-2-1-2-1-1-1-2-1-1,0,0,0,1,0,2,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,I
'Research Associate,'1-2-1-2-1-1-1-2-1-2,0,0,0,1,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,1,0,0,0,2,I
"'College Lecturer, Keble College",'1-2-1-2-1-1-1-2-1-3,0,0,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'bahareh.afshari AT cs DOT ox DOT ac DOT uk,'1-2-1-2-1-1-1-2-1-4,0,0,0,1,0,2,0,0,1,2,1,0,1,1,1,0,0,1,0,0,0,0,0,2,I
'+44 1865 283596,'1-2-1-2-1-1-1-2-1-5,0,0,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Room 351, Wolfson Building, Parks Road, Oxford OX1 3QD",'1-2-1-2-1-1-1-2-2,1,0,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,I
'Interests,'1-2-1-2-1-1-2-1-1,0,0,1,2,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,C
"'My research explores the interface of mathematics and computer science by uncovering the subtle interactions between expressibility, complexity, and deductive strength in fixpoint logics. I employ techniques from proof theory and automata theory, notably cut-elimination and tableaux, to gain insight into the behaviour of fixpoint constructions. In particular, I am interested in the analysis of the modal µ-calculus and its fragments.",'1-2-1-2-1-1-2-1-2,2,0,0,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,I
'Biography,'1-2-1-2-1-1-2-2-1,0,0,1,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
