content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Ioannis Agrafiotis,'1-2-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'Dr Ioannis Agrafiotis,'1-2-1-2-1-1-1-2-1-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,I
'Research Assistant,'1-2-1-2-1-1-1-2-1-2,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,2,I
"'Robert Hooke Building, Parks Road, Oxford OX1 3PR",'1-2-1-2-1-1-1-2-2,0,0,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,I
'Biography,'1-2-1-2-1-1-2-1-1,0,0,1,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
"'I am a post-doctoral researcher at the Cyber Security Centre. Currently, I am working on CyberVis, a Dstl funded project, aiming to create a tool to increase situational awareness in CERT environments. My specific research interests lay in business process modeling and optimisation, human computer interaction and in the use and development of formal methods.",'1-2-1-2-1-1-2-1-2-1,2,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'Before joining Cybervis, I worked on a research project aiming at developing a system able to reason for and anticipate insider-threat attacks (Corporate Insider Threat Detection: Cyber Security Inside and Out). I have also worked on the TSB and EPSRC funded TEASE project, researching how people understand information quality and provenance, and looking  to develop mechanisms that effectively communicate trustworthiness.",'1-2-1-2-1-1-2-1-2-2,2,0,0,1,0,2,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Prior to my post-doctoral experience, I completed a PhD in Engineering at the Warwick Manufacturing Centre (WMG), University of Warwick, focusing on formal methods for information privacy. During my doctoral studies, I worked on the EnCoRe project through which I received an EPSRC studentship. I also hold an MSc in Analysis, Design and Management of Information Systems from the London School of Economics and Political Science in the UK and a BSc in Applied Informatics from the University of Macedonia in Greece.",'1-2-1-2-1-1-2-1-2-3,2,0,0,1,0,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Recent News,'1-2-1-2-1-1-2-2-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
'Publications,'1-2-1-2-1-1-2-2-2-1,0,0,0,1,0,1,0,0,1,2,1,0,1,0,0,1,0,0,0,1,0,0,0,1,I
'Oxford papers on Insider Threat accepted to key computer security conferences and workshops,'1-2-1-2-1-1-2-2-2-2,1,0,0,1,0,2,1,0,1,2,1,0,1,1,1,1,0,0,0,0,1,0,0,2,I
'More Details...,'1-2-1-2-1-1-2-2-2-3,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,N
'Selected Publications,'1-2-1-2-1-1-2-3-1-1,0,0,1,2,1,2,0,0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,3,C
'View all,'1-2-1-2-1-1-2-3-1-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,N
'Manage publications,'1-2-1-2-1-1-2-3-2,0,0,0,1,0,2,1,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,3,N
'Managing the influence of social media using information trust,'1-2-1-2-1-1-3-1-1,0,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,I
'Jason R.C. Nurse‚ Ioannis Agrafiotis‚ Michael Goldsmith‚ Sadie Creese‚ Koen Lamberts‚ Darren Price and Glyn Jones,'1-2-1-2-1-1-3-1-2,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'In Social Influence in the Information Age Conference. 2014.,'1-2-1-2-1-1-3-1-3,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Details | BibTeX,'1-2-1-2-1-1-3-1-4,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,N
'A critical reflection on the threat from human insiders − its nature‚ industry perceptions‚ and detection approaches,'1-2-1-2-1-1-3-2-1,1,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,I
'Jason R.C. Nurse‚ Philip A. Legg‚ Oliver Buckley‚ Ioannis Agrafiotis‚ Gordon Wright‚ Monica Whitty‚ David Upton‚ Michael Goldsmith and Sadie Creese,'1-2-1-2-1-1-3-2-2,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'In International Conference on Human Aspects of Information Security‚ Privacy and Trust at the 16th International Conference on Human−Computer Interaction (HCI). Springer. 2014.,'1-2-1-2-1-1-3-2-3,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'To appear,'1-2-1-2-1-1-3-2-4,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Details | BibTeX,'1-2-1-2-1-1-3-2-5,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,N
'Towards a Conceptual Model and Reasoning Structure for Insider Threat Detection,'1-2-1-2-1-1-3-3-1,1,0,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,I
'Philip A. Legg‚ Nick Moffat‚ Jason R.C. Nurse‚ Jassim Happa‚ Ioannis Agrafiotis‚ Michael Goldsmith and Sadie Creese,'1-2-1-2-1-1-3-3-2,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'In Journal of Wireless Mobile Networks‚ Ubiquitous Computing‚ and Dependable Applications. Vol. 4. No. 4. Pages 20−37. 2013.,'1-2-1-2-1-1-3-3-3,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Details | BibTeX | Download (pdf),'1-2-1-2-1-1-3-3-4,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,N
'Info,'1-2-1-2-1-2-1,0,0,1,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,C
'Themes,'1-2-1-2-1-2-2-1-1,0,0,0,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Security,'1-2-1-2-1-2-2-1-2,0,0,0,1,0,1,1,0,1,2,0,0,0,1,1,0,0,0,0,1,0,0,0,2,I
'Activities,'1-2-1-2-1-2-2-2-1,0,0,0,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
