content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Liya Asner,'1-2-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'Liya Asner,'1-2-1-2-1-1-2-1-1,0,0,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Doctoral Student,'1-2-1-2-1-1-2-1-2,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Student, Linacre College",'1-2-1-2-1-1-2-1-3,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Room 368, Wolfson Building, Parks Road, Oxford OX1 3QD",'1-2-1-2-1-1-2-2,1,0,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,I
'Interests,'1-2-1-2-1-2-1-1-1-1,0,0,1,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,2,C
"'Numerical solution of coupled problems, in particular fluid-structure interaction problems in physiology.",'1-2-1-2-1-2-1-1-1-2-1,1,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'Monolithic solvers for coupled systems, block preconditioning.",'1-2-1-2-1-2-1-1-1-2-2,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'A posteriori error estimation, spatial and temporal adaptivity.",'1-2-1-2-1-2-1-1-1-2-3,0,1,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Biography,'1-2-1-2-1-2-1-1-2,0,0,1,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
'2008-present,'1-2-1-2-1-2-1-2-1-1,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
"'DPhil Student, Computational Biology Group, Department of Computer Science, University of Oxford",'1-2-1-2-1-2-1-2-1-2,1,0,0,1,0,2,1,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,2,I
'2006-2008,'1-2-1-2-1-2-1-2-2-1,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
"'Programmer/IT Analyst, Citigroup (London, UK)",'1-2-1-2-1-2-1-2-2-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2,I
'2005-2006,'1-2-1-2-1-2-1-2-3-1,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,I
"'MSc in Mathematical Modelling and Scientific Computing (Distinction), Computing Laboratory and Mathematical Institute, University of Oxford",'1-2-1-2-1-2-1-2-3-2,1,0,0,1,0,2,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,I
'2001-2005,'1-2-1-2-1-2-1-2-4-1,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,I
"'Institute of Mathematics, Economics and Mechanics",'1-2-1-2-1-2-1-2-4-2-1,0,0,0,1,0,2,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,I
'Mechnikov Odessa State University,'1-2-1-2-1-2-1-2-4-2-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Info,'1-2-1-2-1-2-2,0,0,1,2,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,C
'Themes,'1-2-1-2-1-2-3-1-1,0,0,0,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Computational Biology,'1-2-1-2-1-2-3-1-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Supervisors,'1-2-1-2-1-2-3-2-1,0,0,0,1,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,I
'David Gavaghan,'1-2-1-2-1-2-3-2-2-1-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'David Kay,'1-2-1-2-1-2-3-2-2-2-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Manage publications,'1-2-1-2-1-2-4,0,0,0,1,0,2,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,2,I
'Share this page: Facebook Twitter Digg Del.icio.us StumbleUpon,'1-2-1-2-2,0,0,0,1,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,N
'Main sections,'1-2-2-1-1,0,0,1,2,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,C
'Home,'1-2-2-1-2-1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Prospective Students,'1-2-2-1-2-2,0,0,0,1,0,2,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,2,I
'Current Students,'1-2-2-1-2-3,0,0,0,1,0,2,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,2,I
'Research,'1-2-2-1-2-4,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,2,I
'People,'1-2-2-1-2-5,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'News,'1-2-2-1-2-6,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Events,'1-2-2-1-2-7,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Vacancies & Studentships,'1-2-2-1-2-8,0,0,0,1,0,2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Contact Us,'1-2-2-1-2-9,0,0,0,1,0,2,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,2,I
'Alumni,'1-2-2-1-2-10,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Industry Liaison,'1-2-2-1-2-11,0,0,0,1,0,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
