content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Markus Aschinger,'1-2-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'Markus Aschinger,'1-2-1-2-1-1-1-2-1-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Doctoral Student,'1-2-1-2-1-1-1-2-1-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Wolfson Building, Parks Road, Oxford OX1 3QD",'1-2-1-2-1-1-1-2-2,0,0,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,I
'Selected Publications,'1-2-1-2-1-1-2-1-1,0,0,1,2,1,2,0,0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,2,C
'View all,'1-2-1-2-1-1-2-1-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,N
'Manage publications,'1-2-1-2-1-1-2-2,0,0,0,1,0,2,1,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,3,N
'LoCo — A Logic for Configuration Problems,'1-2-1-2-1-1-3-1-1,0,0,0,1,0,2,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,3,I
'Markus Aschinger‚ Conrad Drescher and Heribert Vollmer,'1-2-1-2-1-1-3-1-2,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'In Proceedings of the 20th European Conference on Artificial Intelligence‚ ECAI 2012. 2012.,'1-2-1-2-1-1-3-1-3,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,1,0,0,0,0,0,2,I
'Details | BibTeX | Download  (pdf),'1-2-1-2-1-1-3-1-4,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,N
'Introducing LoCo‚ a Logic for Configuration Problems,'1-2-1-2-1-1-3-2-1,0,0,0,1,0,2,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,3,I
'Markus Aschinger‚ Conrad Drescher and Georg Gottlob,'1-2-1-2-1-1-3-2-2,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
