content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Oliver Britton,'1-2-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'Oliver Britton,'1-2-1-2-1-1-1-2-1-1,0,0,0,1,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Doctoral Student,'1-2-1-2-1-1-1-2-1-2,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'Student, St Edmund Hall",'1-2-1-2-1-1-1-2-1-3,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
"'Wolfson Building, Parks Road, Oxford OX1 3QD",'1-2-1-2-1-1-1-2-2,0,0,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,I
'Interests,'1-2-1-2-1-1-2-1-1,0,0,1,2,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,C
'Modelling variability in cardiac electrophysiology.,'1-2-1-2-1-1-2-1-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,I
'Biography,'1-2-1-2-1-1-2-2-1,0,0,1,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
"'2006-2010: MPhys at St Hugh's College, University of Oxford.",'1-2-1-2-1-1-2-2-2-1,1,0,0,1,0,2,0,1,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,I
"'20010-2011: Systems Biology Doctoral Training Centre, St Edmund Hall, University of Oxford.",'1-2-1-2-1-1-2-2-2-2,1,0,0,1,0,2,0,1,1,2,1,0,1,1,0,0,0,0,0,0,1,0,0,2,I
"'20011-present: DPhil in Computer Science, St Edmund Hall College, University of Oxford.",'1-2-1-2-1-1-2-2-2-3,1,0,0,1,0,2,0,1,1,2,1,0,0,1,1,0,0,0,0,0,1,0,0,2,I
'Selected Publications,'1-2-1-2-1-1-2-3-1-1,0,0,1,2,1,2,0,0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,2,C
'View all,'1-2-1-2-1-1-2-3-1-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,N
