content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Oliver Buckley,'1-2-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'Dr Oliver Buckley,'1-2-1-2-1-1-1-2-1-1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,I
'Research Assistant,'1-2-1-2-1-1-1-2-1-2,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,1,0,0,0,1,0,0,0,2,I
"'Robert Hooke Building, Parks Road, Oxford OX1 3PR",'1-2-1-2-1-1-1-2-2,0,0,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,I
'Recent News,'1-2-1-2-1-1-2-1-1,0,0,1,2,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,C
'Publications,'1-2-1-2-1-1-2-1-2-1,0,0,0,1,0,1,0,0,1,2,1,0,1,0,0,1,0,0,0,1,0,0,0,1,N
'Oxford papers on Insider Threat accepted to key computer security conferences and workshops,'1-2-1-2-1-1-2-1-2-2,1,0,0,1,0,2,1,0,1,2,1,0,1,1,1,1,0,0,0,0,1,0,0,3,I
'More Details...,'1-2-1-2-1-1-2-1-2-3,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,N
'Selected Publications,'1-2-1-2-1-1-2-2-1-1,0,0,1,2,1,2,0,0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,3,C
'View all,'1-2-1-2-1-1-2-2-1-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,N
'Manage publications,'1-2-1-2-1-1-2-2-2,0,0,0,1,0,2,1,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,3,N
'Understanding Insider Threat: A Framework for Characterising Attacks,'1-2-1-2-1-1-3-1-1,0,0,0,1,0,2,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,I
'Jason R.C. Nurse‚ Oliver Buckley‚ Philip A. Legg‚ Michael Goldsmith‚ Sadie Creese‚ Gordon R.T. Wright and Monica Whitty,'1-2-1-2-1-1-3-1-2,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'In Workshop on Research for Insider Threat (WRIT) held as part of the IEEE Computer Society Security and Privacy Workshops (SPW14)‚ in conjunction with the IEEE Symposium on Security and Privacy (SP).. IEEE. 2014.,'1-2-1-2-1-1-3-1-3,2,0,0,1,0,2,0,0,1,2,1,0,1,1,1,0,1,0,0,0,0,0,0,2,I
'In press,'1-2-1-2-1-1-3-1-4,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Details | BibTeX | Link,'1-2-1-2-1-1-3-1-5,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,N
'A critical reflection on the threat from human insiders − its nature‚ industry perceptions‚ and detection approaches,'1-2-1-2-1-1-3-2-1,1,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,I
'Jason R.C. Nurse‚ Philip A. Legg‚ Oliver Buckley‚ Ioannis Agrafiotis‚ Gordon Wright‚ Monica Whitty‚ David Upton‚ Michael Goldsmith and Sadie Creese,'1-2-1-2-1-1-3-2-2,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'In International Conference on Human Aspects of Information Security‚ Privacy and Trust at the 16th International Conference on Human−Computer Interaction (HCI). Springer. 2014.,'1-2-1-2-1-1-3-2-3,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'To appear,'1-2-1-2-1-1-3-2-4,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Details | BibTeX,'1-2-1-2-1-1-3-2-5,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,N
'Computational Requirements of the Virtual Patient.,'1-2-1-2-1-1-3-3-1,0,0,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,I
'NW John‚ C Hughes‚ S Pop‚ FP Vidal and O Buckley,'1-2-1-2-1-1-3-3-2,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
