content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,CS,Concept,Conference,Country,Month,Total,University,NextIsLi,LastEndColon,LastLabel,Label
'Richard Bird,'1-2-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C
'Professor Richard Bird,'1-2-1-2-1-1-2-1,0,0,0,1,0,2,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,I
'Emeritus Professor,'1-2-1-2-1-1-2-2,0,0,0,1,0,2,0,0,1,2,1,0,1,1,1,0,0,0,0,1,0,0,0,2,I
"'Fellow, Lincoln College",'1-2-1-2-1-1-2-3,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,I
'Interests,'1-2-1-2-1-2-1-1-1-1,0,0,1,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,2,C
'The algebra of programming; See the Algebra of Programming Research Group home page.,'1-2-1-2-1-2-1-1-1-2-1,1,1,0,1,0,2,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,I
'The calculation of algorithms from their specification,'1-2-1-2-1-2-1-1-1-2-2,0,1,0,1,0,0,0,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,2,I
'Functional programming,'1-2-1-2-1-2-1-1-1-2-3,0,1,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
'Algorithm design,'1-2-1-2-1-2-1-1-1-2-4,0,1,0,1,0,2,0,0,1,2,1,0,0,1,1,0,0,0,0,1,0,0,0,2,I
'Selected Publications,'1-2-1-2-1-2-1-1-2-1-1-1,0,0,1,2,1,2,0,0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,2,C
'View all,'1-2-1-2-1-2-1-1-2-1-1-2,0,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,N
'Manage publications,'1-2-1-2-1-2-1-1-2-1-2,0,0,0,1,0,2,1,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,3,N
'Info,'1-2-1-2-1-2-1-1-2-2,0,0,1,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,C
'Understanding Idiomatic Traversals Backwards and Forwards,'1-2-1-2-1-2-1-2-1,0,0,0,1,0,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,I
'Richard Bird‚ Jeremy Gibbons‚ Stefan Mehner‚ Janis Voigtlaender and Tom Schrijvers,'1-2-1-2-1-2-1-2-2,1,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'In Haskell Symposium. September, 2013.",'1-2-1-2-1-2-1-2-3,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,1,0,0,0,0,2,I
'Details | BibTeX | Download (pdf),'1-2-1-2-1-2-1-2-4,0,0,0,1,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,N
'Be Kind‚ Rewind: A Modest Proposal about Traversal,'1-2-1-2-1-2-1-3-1,0,0,0,1,0,2,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,I
'Jeremy Gibbons and Richard Bird,'1-2-1-2-1-2-1-3-2,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
"'May, 2012.",'1-2-1-2-1-2-1-3-3,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,1,1,0,0,0,2,I
'Submitted for publication (but rejected),'1-2-1-2-1-2-1-3-4,0,0,0,1,0,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,I
